degree,Fp,W,Fp_x,Fp_y,Mot_x,Mot_y,Mw_x,Mw_y,Mtotal_x,Mtotal_y,ecc_x,ecc_y,torsion,Tmax,Cmax,Vmax,T_anchor,C_anchor,V_anchor,equip_xo,equip_yo,anchor_xo,anchor_yo,Ix,Iy,Iz,Ixy
232.0,19425.000000000004,-1855.0,15307.10888881058,-11959.22415820091,765390.3461248582,979654.9688838772,-7779.4042693186675,-36008.04068835883,757610.9418555396,943646.9281955183,-19.411342689142227,-4.19374893224726,167950.42687286442,4111.121075919441,-3334.443008870603,1662.3900387643585,2,3,0,74.33065644508571,-57.445221841704466,59.075121310498915,-70.15963896792103,21668.315735831402,25510.25569274003,47178.571428571435,-7704.589763479294
233.0,19425.000000000004,-1855.0,15513.494782668666,-11690.25682472854,748176.4367826266,992863.6660907946,-7779.4042693186675,-36008.04068835883,740397.0325133079,956855.6254024358,-19.411342689142227,-4.19374893224726,161863.8791686492,4156.227050781227,-3324.954377026006,1654.1470467597596,2,3,0,75.32189288554181,-56.13922382914609,60.29057841814776,-69.11795028763773,21400.59963379474,25777.971794776688,47178.57142857143,-7632.855450137762
234.0,19425.000000000004,-1855.0,15715.155115733354,-11417.728525781295,730734.6256500029,1005769.9274069347,-7779.4042693186675,-36008.04068835883,722955.2213806842,969761.8867185758,-19.411342689142227,-4.19374893224726,155728.02615882858,4199.980619684682,-3314.468640271665,1645.6456471410306,2,3,0,76.29018554776546,-54.81612526517648,61.487670431562506,-68.05520761013618,21135.550108605912,26043.02131996551,47178.57142857142,-7551.821678181487
235.0,19425.000000000004,-1855.0,15912.028460313664,-11141.722276119079,713070.225671621,1018369.8214600745,-7779.4042693186675,-36008.04068835883,705290.8214023024,982361.7807717157,-19.411342689142227,-4.19374893224726,149544.73688366872,4242.368454868868,-3302.988992664573,1636.892253637294,2,3,0,77.23523948043162,-53.476329178435364,62.66603270491935,-66.97173465713101,20873.4900822836,26305.08134628782,47178.57142857142,-7461.587174779298
236.0,19425.000000000004,-1855.0,16104.054846881681,-10862.322149919268,695188.6175948331,1030659.5102004276,-7779.4042693186675,-36008.04068835883,687409.2133255145,994651.4695120688,-19.411342689142227,-4.19374893224726,143315.8948329817,4283.377644588567,-3346.6922342161993,1627.8935535380367,2,8,0,78.15676681095746,-52.120243683789674,63.8253062976548,-65.8678614649795,20614.738834602642,26563.83259396878,47178.57142857142,-7362.26187677404
237.0,19425.000000000004,-1855.0,16291.175782339868,-10579.613255166902,677095.2483306817,1042635.2500697515,-7779.4042693186675,-36008.04068835883,669315.844061363,1006627.2093813927,-19.411342689142227,-4.19374893224726,137043.397372396,4322.995697047327,-3400.8091985779324,1618.65651218221,2,8,0,79.05448683319115,-50.74828185801769,64.9651380838024,-64.74392428414941,20359.611614100748,26818.959814470683,47178.571428571435,-7253.96679674143
238.0,19425.000000000004,-1855.0,16473.334267838578,-10293.68170773001,658795.6292947206,1054293.393141669,-7779.4042693186675,-36008.04068835883,651016.2250254019,1018285.3524533102,-19.411342689142227,-4.19374893224726,130729.15516540174,4361.210544202577,-3453.892113683107,1609.1883776438917,2,8,0,79.92812609291738,-49.36086161398218,66.08518085955819,-63.60026547679394,20108.41925399678,27070.152174574647,47178.57142857143,-7136.833875554922
239.0,19425.000000000004,-1855.0,16650.474816138532,-10004.614605127808,640295.3347281797,1065630.388232866,-7779.4042693186675,-36008.04068835883,632515.930458861,1029622.3475445072,-19.411342689142227,-4.19374893224726,124375.09159134238,4398.010545441679,-3505.9248099615597,1599.4966856109615,2,8,0,80.77741847115456,-47.958405573329635,67.18509344904265,-62.437233412464636,19861.467793488293,27317.10363508312,47178.57142857141,-7011.005821636032
240.0,19425.000000000004,-1855.0,16822.543468512722,-9712.500000000011,621600.0000000007,1076642.7819848142,-7779.4042693186675,-36008.04068835883,613820.595730682,1040634.7412964554,-19.411342689142227,-4.19374893224726,117983.14215953575,4433.384491127767,-3556.8914377499514,1589.5892644512926,2,8,0,81.60210526521703,-46.54134093775597,68.26454080822592,-61.25518236199484,19619.058104889988,27559.51332368145,47178.571428571435,-6876.635937086137
241.0,19425.000000000004,-1855.0,16989.48781118276,-9417.42687328511,602715.3198902471,1087327.2199156967,-7779.4042693186675,-36008.04068835883,594935.9156209284,1051319.1792273377,-19.411342689142227,-4.19374893224726,111555.25391969894,4467.3216060143095,-3606.7764721197327,1579.47424045863,2,8,0,82.4019352675184,-45.11009935887648,69.32319412698558,-60.05447238958523,19381.485527067023,27797.085901504397,47178.57142857142,-6733.887930911459
242.0,19425.000000000004,-1855.0,17151.25699128466,-9119.48510711593,583647.0468554195,1097680.4474422182,-7779.4042693186675,-36008.04068835883,575867.6425861008,1061672.4067538595,-19.411342689142227,-4.19374893224726,105093.38486885783,4499.811552527359,-3655.564717606192,1569.1600432676812,2,8,0,83.17666484209177,-43.66511680674101,70.36073092926527,-58.83546924312509,19149.03950561027,28029.53192296116,47178.571428571435,-6582.93571956889
243.0,19425.000000000004,-1855.0,17307.801732359047,-8818.7654574407,564400.9892762048,1107699.310870979,-7779.4042693186675,-36008.04068835883,556621.5850068862,1071691.2701826203,-19.411342689142227,-4.19374893224726,98599.50335492352,4530.844433914464,-3703.241312837124,1558.6554114248015,2,8,0,83.92605799880378,-42.20683343703272,71.3768351713042,-57.5985442427815,18922.003240191283,28256.568188380137,47178.57142857142,-6423.963215075541
244.0,19425.000000000004,-1855.0,17459.07434936132,-8515.359526377837,544983.0096881816,1117380.7583591244,-7779.4042693186675,-36008.04068835883,537203.6054188629,1081372.7176707657,-19.411342689142227,-4.19374893224726,92075.5874771125,4560.4107972593365,-3749.7917350597727,1547.9693980971074,2,8,0,84.64988646523938,-40.73569345699274,72.371197337907,-56.34407416789193,18700.653339527238,28477.918089044182,47178.57142857142,-6257.164100940297
245.0,19425.000000000004,-1855.0,17605.028763186932,-8209.359734313082,525399.0229960373,1126721.8408439637,-7779.4042693186675,-36008.04068835883,517619.6187267186,1090713.8001556047,-19.411342689142227,-4.19374893224726,85523.62448339934,4588.501636361285,-3795.201804564585,1537.1113768987395,2,8,0,85.34792975623583,-39.25214499011023,73.34351453672517,-55.072441142193526,18485.259484375743,28693.311944195684,47178.57142857143,-6082.741596190299
246.0,19425.000000000004,-1855.0,17745.620514707527,-7900.859291747418,505654.99467183475,1135719.7129412817,-7779.4042693186675,-36008.04068835883,497875.59040251607,1099711.6722529228,-19.411342689142227,-4.19374893224726,78945.61016518291,4615.108394478595,-3839.4576890044905,1526.0910478083244,2,8,0,86.01997524104458,-37.756639939619596,74.2934905905209,-53.78403251742442,18276.084098970416,28902.48732960101,47178.57142857142,-5900.908207779849
247.0,19425.000000000004,-1855.0,17880.806778313654,-7589.9521709041455,485756.9389378653,1144371.6338120739,-7779.4042693186675,-36008.04068835883,477977.53466854664,1108363.593123715,-19.411342689142227,-4.19374893224726,72343.5482493469,4640.222966934998,-3882.545907608372,1514.9184431463507,2,8,0,86.66581820810066,-36.24963385084664,75.22083612738551,-52.479240755332945,18073.38203129739,29105.18939727403,47178.57142857142,-5711.885471683454
248.0,19425.000000000004,-1855.0,18010.546374959846,-7276.733077104098,465710.91693466227,1152674.9679974301,-7779.4042693186675,-36008.04068835883,457931.5126653436,1116666.9273090712,-19.411342689142227,-4.19374893224726,65719.44978790643,4663.83770358844,-3924.4533352874405,1503.6039335752016,2,8,0,87.28526192737995,-34.73158577244463,76.12526866888514,-51.15846330812958,17877.40024260226,29301.17118596916,47178.57142857142,-5515.903682988325
249.0,19425.000000000004,-1855.0,18134.799784708146,-6961.297419917468,445523.03487471794,1160627.1862213213,-7779.4042693186675,-36008.04068835883,437743.63060539926,1124619.1455329624,-19.411342689142227,-4.19374893224726,59075.33254542196,4685.945411161369,-3965.167206633257,1492.1582340777863,2,8,0,87.87811771032482,-33.20295811656391,77.00651271610617,-49.82210249741941,17688.377506505876,29490.193922065562,47178.571428571435,-5313.201615315302
